	genus	compound	R	pval	qval
8	Dubosiella	HDCA	0.705410511	0.010382974	0.114637298
10	Dubosiella	omega-MCA	0.727272727	0.007355029	0.09929289
13	Dubosiella	HCA	0.712875173	0.00926089	0.108845547
39	Dubosiella	Sucrose	0.748251748	0.005124082	0.084370464
44	Dubosiella	Maltose	0.622377622	0.030675895	0.18405537
46	Ambiguous_taxa	Acetic acid 	0.699300699	0.011374199	0.117679994
47	Ambiguous_taxa	Propionic acid	0.657342657	0.020185499	0.153720335
49	Ambiguous_taxa	Butyric acid	0.797202797	0.001900368	0.054270117
61	Ambiguous_taxa	Alanine	0.833626497	0.000753851	0.046324428
62	Ambiguous_taxa	Proline	0.862168403	0.000309405	0.028716685
63	Ambiguous_taxa	Valine	0.718975037	0.008413264	0.105878791
64	Ambiguous_taxa	Leucine	0.596631655	0.040571236	0.219084674
65	Ambiguous_taxa	Isoleucine	0.772592465	0.003222325	0.070223948
66	Ambiguous_taxa	Glycine	0.713286713	0.00920178	0.108845547
67	Ambiguous_taxa	4-Aminobutyric acid	0.713286713	0.00920178	0.108845547
69	Ambiguous_taxa	Threonine	0.88982059	0.000105995	0.02248617
71	Ambiguous_taxa	4-Hydroxyproline	0.735269157	0.006432813	0.09434061
74	Ambiguous_taxa	Pyruvic acid	0.8231186	0.001004947	0.046635812
75	Ambiguous_taxa	Fumaric acid	0.787521788	0.002357753	0.063085811
76	Ambiguous_taxa	Adenine	0.757203629	0.004346479	0.075052573
80	Ambiguous_taxa	Hydroxypropionic acid	0.694021729	0.012285745	0.120028493
82	Ambiguous_taxa	Taurine	0.774667097	0.003089652	0.068960472
83	Ambiguous_taxa	Arabinose	0.815450062	0.00122559	0.047611899
86	Ambiguous_taxa	Glucose	0.685314685	0.013905969	0.129876501
87	Ambiguous_taxa	Mannose	0.725136935	0.007617294	0.099812292
88	Ambiguous_taxa	Galactose-talose	0.57830387	0.048870169	0.242716392
91	uncultured bacterium	Acetic acid 	0.608391608	0.035805997	0.203270962
92	uncultured bacterium	Propionic acid	0.622377622	0.030675895	0.18405537
94	uncultured bacterium	Butyric acid	0.699300699	0.011374199	0.117679994
106	uncultured bacterium	Alanine	0.774081748	0.003126656	0.068960472
107	uncultured bacterium	Proline	0.828577426	0.000867564	0.046324428
108	uncultured bacterium	Valine	0.711856472	0.009408426	0.108845547
109	uncultured bacterium	Leucine	0.596631655	0.040571236	0.219084674
110	uncultured bacterium	Isoleucine	0.757663142	0.004309133	0.075052573
111	uncultured bacterium	Glycine	0.699300699	0.011374199	0.117679994
112	uncultured bacterium	4-Aminobutyric acid	0.671328671	0.016831456	0.1400264
114	uncultured bacterium	Threonine	0.896939155	7.68E-05	0.017775352
116	uncultured bacterium	4-Hydroxyproline	0.761395473	0.004014726	0.073195663
119	uncultured bacterium	Pyruvic acid	0.700526468	0.011169929	0.117279638
120	uncultured bacterium	Fumaric acid	0.821112765	0.001059431	0.047611899
121	uncultured bacterium	Adenine	0.757203629	0.004346479	0.075052573
125	uncultured bacterium	Hydroxypropionic acid	0.701819726	0.010957379	0.116471677
127	uncultured bacterium	Taurine	0.767624669	0.003557617	0.070223948
128	uncultured bacterium	Arabinose	0.815450062	0.00122559	0.047611899
131	uncultured bacterium	Glucose	0.615384615	0.033169901	0.194308888
132	uncultured bacterium	Mannose	0.725136935	0.007617294	0.099812292
133	uncultured bacterium	Galactose-talose	0.640710763	0.024780463	0.166591021
151	uncultured Bacteroidales bacterium	Alanine	0.67250541	0.016569291	0.139013541
153	uncultured Bacteroidales bacterium	Valine	0.64778939	0.022740883	0.160431054
156	uncultured Bacteroidales bacterium	Glycine	0.622377622	0.030675895	0.18405537
159	uncultured Bacteroidales bacterium	Threonine	0.590840872	0.04307592	0.225321961
163	uncultured Bacteroidales bacterium	L-Lactic acid	0.608391608	0.035805997	0.203270962
164	uncultured Bacteroidales bacterium	Pyruvic acid	0.725044895	0.007628751	0.099812292
165	uncultured Bacteroidales bacterium	Fumaric acid	0.608369912	0.035814401	0.203270962
172	uncultured Bacteroidales bacterium	Taurine	0.746497384	0.00528802	0.085355533
173	uncultured Bacteroidales bacterium	Arabinose	0.607427087	0.036180975	0.204086875
177	uncultured Bacteroidales bacterium	Mannose	0.734315883	0.006537925	0.09434061
178	uncultured Bacteroidales bacterium	Galactose-talose	0.657352601	0.020182953	0.153720335
181	Bacteroides	Acetic acid 	-0.846153846	0.000521134	0.035763821
182	Bacteroides	Propionic acid	-0.811188811	0.001363315	0.048202932
184	Bacteroides	Butyric acid	-0.825174825	0.000951363	0.046324428
196	Bacteroides	Alanine	-0.858144924	0.000354759	0.030989243
197	Bacteroides	Proline	-0.757663142	0.004309133	0.075052573
198	Bacteroides	Valine	-0.765245708	0.003727255	0.070223948
199	Bacteroides	Leucine	-0.596631655	0.040571236	0.219084674
200	Bacteroides	Isoleucine	-0.824845095	0.000959803	0.046324428
201	Bacteroides	Glycine	-0.769230769	0.00344645	0.070223948
202	Bacteroides	4-Aminobutyric acid	-0.741258741	0.00580115	0.089736546
204	Bacteroides	Threonine	-0.815075661	0.001237242	0.047611899
206	Bacteroides	4-Hydroxyproline	-0.821112765	0.001059431	0.047611899
209	Bacteroides	Pyruvic acid	-0.896673879	7.78E-05	0.017775352
210	Bacteroides	Fumaric acid	-0.880830057	0.00015446	0.025826705
211	Bacteroides	Adenine	-0.757203629	0.004346479	0.075052573
215	Bacteroides	Hydroxypropionic acid	-0.772001698	0.003260885	0.070223948
217	Bacteroides	Taurine	-0.873261091	0.000207389	0.026780236
218	Bacteroides	Arabinose	-0.815450062	0.00122559	0.047611899
221	Bacteroides	Glucose	-0.769230769	0.00344645	0.070223948
222	Bacteroides	Mannose	-0.725136935	0.007617294	0.099812292
223	Bacteroides	Galactose-talose	-0.703117655	0.010747098	0.116471677
228	Lachnospiraceae NK4A136 group	Isobutyric acid	-0.594405594	0.041521494	0.221013965
283	Lactobacillus	HCA	0.768860134	0.003471866	0.070223948
288	Lactobacillus	Valine	0.615755849	0.03303397	0.194308888
291	Lactobacillus	Glycine	0.629370629	0.028319671	0.174500879
302	Lactobacillus	Niacin	0.734265734	0.00654349	0.09434061
307	Lactobacillus	Taurine	0.64790339	0.022709071	0.160431054
309	Lactobacillus	Sucrose	0.629370629	0.028319671	0.174500879
314	Lactobacillus	Maltose	0.797202797	0.001900368	0.054270117
316	Blautia	Acetic acid 	-0.587412587	0.044609296	0.228734256
317	Blautia	Propionic acid	-0.636363636	0.026096891	0.168495144
319	Blautia	Butyric acid	-0.643356643	0.024003191	0.165789483
331	Blautia	Alanine	-0.71803963	0.008539324	0.106562152
332	Blautia	Proline	-0.701678181	0.010980495	0.116471677
333	Blautia	Valine	-0.683382213	0.014285964	0.130819992
335	Blautia	Isoleucine	-0.683016527	0.014358724	0.130819992
336	Blautia	Glycine	-0.692307692	0.01259303	0.122226472
337	Blautia	4-Aminobutyric acid	-0.636363636	0.026096891	0.168495144
339	Blautia	Threonine	-0.811516378	0.001352325	0.048202932
341	Blautia	4-Hydroxyproline	-0.686748858	0.013628822	0.129332644
344	Blautia	Pyruvic acid	-0.654992248	0.020793709	0.15691073
345	Blautia	Fumaric acid	-0.806183442	0.001539953	0.052570813
346	Blautia	Adenine	-0.632389844	0.027343876	0.174273204
350	Blautia	Hydroxypropionic acid	-0.686223732	0.013729822	0.129452606
352	Blautia	Taurine	-0.823964094	0.000982639	0.046324428
353	Blautia	Arabinose	-0.740561791	0.005872143	0.090260784
357	Blautia	Mannose	-0.725136935	0.007617294	0.099812292
358	Blautia	Galactose-talose	-0.765524548	0.003707061	0.070223948
378	uncultured	Valine	-0.605078001	0.037105947	0.207151623
381	uncultured	Glycine	-0.664335664	0.018452718	0.146145527
382	uncultured	4-Aminobutyric acid	-0.587412587	0.044609296	0.228734256
384	uncultured	Threonine	-0.619315131	0.031750898	0.188978293
390	uncultured	Fumaric acid	-0.64942555	0.022287393	0.15950255
397	uncultured	Taurine	-0.83804895	0.000664043	0.041961869
403	uncultured	Galactose-talose	-0.761364088	0.004017136	0.073195663
404	uncultured	Maltose	-0.622377622	0.030675895	0.18405537
406	Alistipes	Acetic acid 	-0.776223776	0.002992864	0.068960472
407	Alistipes	Propionic acid	-0.699300699	0.011374199	0.117679994
409	Alistipes	Butyric acid	-0.79020979	0.002223135	0.061136224
414	Alistipes	beta-MCA	0.601398601	0.038588453	0.212630251
421	Alistipes	Alanine	-0.851139659	0.000445901	0.032787796
422	Alistipes	Proline	-0.683016527	0.014358724	0.130819992
423	Alistipes	Valine	-0.868464896	0.000247625	0.027238744
424	Alistipes	Leucine	-0.670063243	0.017116767	0.140086374
425	Alistipes	Isoleucine	-0.828577426	0.000867564	0.046324428
426	Alistipes	Glycine	-0.965034965	3.88E-07	0.000384218
427	Alistipes	4-Aminobutyric acid	-0.937062937	6.99E-06	0.0029671
428	Alistipes	Serine	-0.706779038	0.010170063	0.113538157
429	Alistipes	Threonine	-0.797279249	0.00189705	0.054270117
431	Alistipes	4-Hydroxyproline	-0.802451111	0.001682711	0.054270117
432	Alistipes	Lysine	-0.679242192	0.015125767	0.135311834
434	Alistipes	Pyruvic acid	-0.732050159	0.00679293	0.096071439
435	Alistipes	Fumaric acid	-0.780057126	0.002764356	0.067296217
436	Alistipes	Adenine	-0.673994439	0.016241865	0.139013541
437	Alistipes	Niacin	-0.643356643	0.024003191	0.165789483
442	Alistipes	Taurine	-0.880303519	0.000157757	0.025826705
443	Alistipes	Arabinose	-0.599106168	0.039533161	0.216586051
446	Alistipes	Glucose	-0.888111888	0.000114134	0.022598452
448	Alistipes	Galactose-talose	-0.586624789	0.044967035	0.229077347
449	Alistipes	Maltose	-0.685314685	0.013905969	0.129876501
493	Unclassified	Galactose-talose	-0.669833979	0.017168835	0.140086374
511	Alloprevotella	Alanine	-0.651489616	0.021724735	0.158454109
513	Alloprevotella	Valine	-0.722534319	0.007946279	0.102610642
516	Alloprevotella	Glycine	-0.706293706	0.010245194	0.113538157
517	Alloprevotella	4-Aminobutyric acid	-0.678321678	0.015317329	0.135702718
527	Alloprevotella	Niacin	-0.629370629	0.028319671	0.174500879
536	Alloprevotella	Glucose	-0.615384615	0.033169901	0.194308888
539	Alloprevotella	Maltose	-0.643356643	0.024003191	0.165789483
582	Parasutterella	Mannose	0.624168501	0.030059525	0.182197527
583	Parasutterella	Galactose-talose	0.711438574	0.009469453	0.108845547
589	Muribaculum	Butyric acid	0.636363636	0.026096891	0.168495144
601	Muribaculum	Alanine	0.788092277	0.002328675	0.062874229
602	Muribaculum	Proline	0.824845095	0.000959803	0.046324428
603	Muribaculum	Valine	0.711856472	0.009408426	0.108845547
605	Muribaculum	Isoleucine	0.683016527	0.014358724	0.130819992
606	Muribaculum	Glycine	0.636363636	0.026096891	0.168495144
607	Muribaculum	4-Aminobutyric acid	0.636363636	0.026096891	0.168495144
609	Muribaculum	Threonine	0.868464896	0.000247625	0.027238744
611	Muribaculum	4-Hydroxyproline	0.679284196	0.015117068	0.135311834
614	Muribaculum	Pyruvic acid	0.686515939	0.013673552	0.129332644
615	Muribaculum	Fumaric acid	0.739001488	0.006033446	0.091894031
616	Muribaculum	Adenine	0.694796736	0.012148643	0.120028493
620	Muribaculum	Hydroxypropionic acid	0.608243762	0.035863294	0.203270962
622	Muribaculum	Taurine	0.697200387	0.011730636	0.118101659
623	Muribaculum	Arabinose	0.778005926	0.002884909	0.068709632
626	Muribaculum	Glucose	0.615384615	0.033169901	0.194308888
627	Muribaculum	Mannose	0.725136935	0.007617294	0.099812292
646	Roseburia	Alanine	-0.605955395	0.036758516	0.205918265
648	Roseburia	Valine	-0.619315131	0.031750898	0.188978293
650	Roseburia	Isoleucine	-0.60090525	0.03879039	0.213347147
651	Roseburia	Glycine	-0.664335664	0.018452718	0.146145527
652	Roseburia	4-Aminobutyric acid	-0.615384615	0.033169901	0.194308888
654	Roseburia	Threonine	-0.676263649	0.015752067	0.138004835
660	Roseburia	Fumaric acid	-0.69794585	0.011603191	0.118101659
665	Roseburia	Hydroxypropionic acid	-0.670627738	0.016989057	0.140086374
667	Roseburia	Taurine	-0.831006522	0.000811316	0.046324428
673	Roseburia	Galactose-talose	-0.815450062	0.00122559	0.047611899
674	Roseburia	Maltose	-0.615384615	0.033169901	0.194308888
676	Prevotellaceae UCG-001	Acetic acid 	0.612691249	0.034168139	0.198290647
677	Prevotellaceae UCG-001	Propionic acid	0.591563965	0.042757332	0.225321961
679	Prevotellaceae UCG-001	Butyric acid	0.774667097	0.003089652	0.068960472
691	Prevotellaceae UCG-001	Alanine	0.804244062	0.00161292	0.053503701
692	Prevotellaceae UCG-001	Proline	0.800604798	0.001756975	0.054270117
693	Prevotellaceae UCG-001	Valine	0.767069435	0.003596674	0.070223948
694	Prevotellaceae UCG-001	Leucine	0.674798732	0.016067	0.139013541
695	Prevotellaceae UCG-001	Isoleucine	0.672808727	0.016502204	0.139013541
696	Prevotellaceae UCG-001	Glycine	0.823964094	0.000982639	0.046324428
697	Prevotellaceae UCG-001	4-Aminobutyric acid	0.781709525	0.002670066	0.067286671
698	Prevotellaceae UCG-001	Serine	0.711774005	0.009420445	0.108845547
699	Prevotellaceae UCG-001	Threonine	0.939122393	5.94E-06	0.0029671
701	Prevotellaceae UCG-001	4-Hydroxyproline	0.785569966	0.002459337	0.065216353
702	Prevotellaceae UCG-001	Lysine	0.68404255	0.014155266	0.130819992
704	Prevotellaceae UCG-001	Pyruvic acid	0.670203385	0.017084996	0.140086374
705	Prevotellaceae UCG-001	Fumaric acid	0.747982886	0.005148953	0.084370464
706	Prevotellaceae UCG-001	Adenine	0.754175233	0.004598766	0.078496176
712	Prevotellaceae UCG-001	Taurine	0.723404255	0.007835154	0.101617498
713	Prevotellaceae UCG-001	Arabinose	0.695517159	0.012022218	0.120028493
716	Prevotellaceae UCG-001	Glucose	0.76058224	0.004077534	0.07384314
722	Coriobacteriaceae UCG-002	Propionic acid	-0.587412587	0.044609296	0.228734256
730	Coriobacteriaceae UCG-002	omega-MCA	0.818181818	0.001143105	0.047611899
737	Coriobacteriaceae UCG-002	Proline	-0.645693219	0.023331633	0.164113871
739	Coriobacteriaceae UCG-002	Leucine	-0.587452707	0.044591132	0.228734256
747	Coriobacteriaceae UCG-002	Lysine	-0.587452707	0.044591132	0.228734256
751	Coriobacteriaceae UCG-002	Adenine	-0.765524548	0.003707061	0.070223948
758	Coriobacteriaceae UCG-002	Arabinose	-0.798808224	0.001831626	0.054270117
759	Coriobacteriaceae UCG-002	Sucrose	0.58041958	0.047855977	0.240088262
760	Coriobacteriaceae UCG-002	Fructose	-0.601844441	0.038406608	0.212021607
762	Coriobacteriaceae UCG-002	Mannose	-0.660884295	0.019293714	0.149614439
826	Ruminiclostridium 9	Alanine	-0.665500145	0.018175124	0.14589221
828	Ruminiclostridium 9	Valine	-0.697619343	0.011658884	0.118101659
831	Ruminiclostridium 9	Glycine	-0.706293706	0.010245194	0.113538157
832	Ruminiclostridium 9	4-Aminobutyric acid	-0.608391608	0.035805997	0.203270962
834	Ruminiclostridium 9	Threonine	-0.612196566	0.034353793	0.198322609
840	Ruminiclostridium 9	Fumaric acid	-0.679284196	0.015117068	0.135311834
842	Ruminiclostridium 9	Niacin	-0.594405594	0.041521494	0.221013965
847	Ruminiclostridium 9	Taurine	-0.873261091	0.000207389	0.026780236
851	Ruminiclostridium 9	Glucose	-0.594405594	0.041521494	0.221013965
853	Ruminiclostridium 9	Galactose-talose	-0.653192141	0.021268478	0.158314232
854	Ruminiclostridium 9	Maltose	-0.587412587	0.044609296	0.228734256
892	Lachnoclostridium	Taurine	-0.711285243	0.009491918	0.108845547
897	Lachnoclostridium	Mannose	-0.624168501	0.030059525	0.182197527
898	Lachnoclostridium	Galactose-talose	-0.711438574	0.009469453	0.108845547
937	Oscillibacter	Taurine	-0.697200387	0.011730636	0.118101659
943	Oscillibacter	Galactose-talose	-0.761364088	0.004017136	0.073195663
958	Rikenella	HCA	-0.64942555	0.022287393	0.15950255
963	Rikenella	Valine	-0.697619343	0.011658884	0.118101659
966	Rikenella	Glycine	-0.741258741	0.00580115	0.089736546
967	Rikenella	4-Aminobutyric acid	-0.629370629	0.028319671	0.174500879
977	Rikenella	Niacin	-0.727272727	0.007355029	0.09929289
982	Rikenella	Taurine	-0.788751953	0.002295394	0.06254423
984	Rikenella	Sucrose	-0.65034965	0.022034191	0.158454109
989	Rikenella	Maltose	-0.797202797	0.001900368	0.054270117
999	Ruminococcaceae UCG-014	beta-MCA	-0.58041958	0.047855977	0.240088262
1008	Ruminococcaceae UCG-014	Valine	0.576603743	0.04969603	0.245995347
1011	Ruminococcaceae UCG-014	Glycine	0.727272727	0.007355029	0.09929289
1012	Ruminococcaceae UCG-014	4-Aminobutyric acid	0.727272727	0.007355029	0.09929289
1022	Ruminococcaceae UCG-014	Niacin	0.748251748	0.005124082	0.084370464
1027	Ruminococcaceae UCG-014	Taurine	0.690157959	0.012986426	0.125069134
1029	Ruminococcaceae UCG-014	Sucrose	0.734265734	0.00654349	0.09434061
1031	Ruminococcaceae UCG-014	Glucose	0.664335664	0.018452718	0.146145527
1034	Ruminococcaceae UCG-014	Maltose	0.783216783	0.002586215	0.067286671
1037	[Eubacterium] coprostanoligenes group	Propionic acid	0.671328671	0.016831456	0.1400264
1045	[Eubacterium] coprostanoligenes group	omega-MCA	-0.636363636	0.026096891	0.168495144
1048	[Eubacterium] coprostanoligenes group	HCA	-0.608369912	0.035814401	0.203270962
1063	[Eubacterium] coprostanoligenes group	L-Lactic acid	0.636363636	0.026096891	0.168495144
1066	[Eubacterium] coprostanoligenes group	Adenine	0.653192141	0.021268478	0.158314232
1068	[Eubacterium] coprostanoligenes group	5-Amino-n-valeric acid	0.636363636	0.026096891	0.168495144
1073	[Eubacterium] coprostanoligenes group	Arabinose	0.644871222	0.023566307	0.164686901
1074	[Eubacterium] coprostanoligenes group	Sucrose	-0.678321678	0.015317329	0.135702718
1077	[Eubacterium] coprostanoligenes group	Mannose	0.596631655	0.040571236	0.219084674
1096	Ruminiclostridium	Alanine	-0.694736842	0.012159198	0.120028493
1098	Ruminiclostridium	Valine	-0.71310425	0.009227952	0.108845547
1100	Ruminiclostridium	Isoleucine	-0.676736006	0.015651493	0.137529395
1101	Ruminiclostridium	Glycine	-0.767076483	0.003596176	0.070223948
1102	Ruminiclostridium	4-Aminobutyric acid	-0.760071218	0.00411738	0.073950275
1104	Ruminiclostridium	Threonine	-0.613269655	0.033951976	0.198108777
1110	Ruminiclostridium	Fumaric acid	-0.639347277	0.025188058	0.167356898
1112	Ruminiclostridium	Niacin	-0.683013307	0.014359366	0.130819992
1117	Ruminiclostridium	Taurine	-0.864209628	0.000288195	0.028531334
1121	Ruminiclostridium	Glucose	-0.59895013	0.039598056	0.216586051
1123	Ruminiclostridium	Galactose-talose	-0.73352438	0.006626176	0.095071218
1124	Ruminiclostridium	Maltose	-0.714536998	0.009023925	0.108845547
1126	mouse gut metagenome	Acetic acid 	0.643356643	0.024003191	0.165789483
1127	mouse gut metagenome	Propionic acid	0.636363636	0.026096891	0.168495144
1129	mouse gut metagenome	Butyric acid	0.727272727	0.007355029	0.09929289
1141	mouse gut metagenome	Alanine	0.728547527	0.007201751	0.09929289
1142	mouse gut metagenome	Proline	0.854703741	0.000397509	0.0310685
1143	mouse gut metagenome	Valine	0.658467237	0.019899135	0.153109925
1144	mouse gut metagenome	Leucine	0.587452707	0.044591132	0.228734256
1145	mouse gut metagenome	Isoleucine	0.765127803	0.003735819	0.070223948
1146	mouse gut metagenome	Glycine	0.685314685	0.013905969	0.129876501
1147	mouse gut metagenome	4-Aminobutyric acid	0.636363636	0.026096891	0.168495144
1149	mouse gut metagenome	Threonine	0.850668484	0.000452626	0.032787796
1151	mouse gut metagenome	4-Hydroxyproline	0.709142842	0.009809986	0.111630872
1154	mouse gut metagenome	Pyruvic acid	0.728547527	0.007201751	0.09929289
1155	mouse gut metagenome	Fumaric acid	0.768860134	0.003471866	0.070223948
1156	mouse gut metagenome	Adenine	0.765524548	0.003707061	0.070223948
1160	mouse gut metagenome	Hydroxypropionic acid	0.631637753	0.027584641	0.174500879
1162	mouse gut metagenome	Taurine	0.718327672	0.008500357	0.106523459
1163	mouse gut metagenome	Arabinose	0.807129143	0.001505305	0.052495292
1166	mouse gut metagenome	Glucose	0.629370629	0.028319671	0.174500879
1167	mouse gut metagenome	Mannose	0.734315883	0.006537925	0.09434061
1171	Lactococcus	Acetic acid 	-0.818634943	0.001129847	0.047611899
1172	Lactococcus	Propionic acid	-0.747449296	0.005198584	0.084370464
1174	Lactococcus	Butyric acid	-0.825753508	0.000936688	0.046324428
1186	Lactococcus	Alanine	-0.948428652	2.63E-06	0.001955645
1187	Lactococcus	Proline	-0.86245105	0.000306398	0.028716685
1188	Lactococcus	Valine	-0.855072464	0.000392746	0.0310685
1189	Lactococcus	Leucine	-0.672750311	0.016515109	0.139013541
1190	Lactococcus	Isoleucine	-0.870049738	0.000233711	0.027238744
1191	Lactococcus	Glycine	-0.811516378	0.001352325	0.048202932
1192	Lactococcus	4-Aminobutyric acid	-0.839990637	0.000627337	0.040504137
1193	Lactococcus	Serine	-0.672750311	0.016515109	0.139013541
1194	Lactococcus	Threonine	-0.898550725	7.12E-05	0.017775352
1196	Lactococcus	4-Hydroxyproline	-0.854852363	0.000395584	0.0310685
1197	Lactococcus	Lysine	-0.672750311	0.016515109	0.139013541
1199	Lactococcus	Pyruvic acid	-0.880683748	0.000155371	0.025826705
1200	Lactococcus	Fumaric acid	-0.847253675	0.00050375	0.035622301
1201	Lactococcus	Adenine	-0.81315063	0.001298506	0.047611899
1205	Lactococcus	Hydroxypropionic acid	-0.694575707	0.012187628	0.120028493
1207	Lactococcus	Taurine	-0.824420421	0.000970759	0.046324428
1208	Lactococcus	Arabinose	-0.81315063	0.001298506	0.047611899
1211	Lactococcus	Glucose	-0.879142743	0.000165221	0.025826705
1212	Lactococcus	Mannose	-0.672750311	0.016515109	0.139013541
1217	Tyzzerella	Propionic acid	-0.58041958	0.047855977	0.240088262
1219	Tyzzerella	Butyric acid	-0.608391608	0.035805997	0.203270962
1230	Tyzzerella	UDCA	0.591312396	0.042867981	0.225321961
1231	Tyzzerella	Alanine	-0.732050159	0.00679293	0.096071439
1232	Tyzzerella	Proline	-0.627031566	0.029092727	0.178523555
1233	Tyzzerella	Valine	-0.662026519	0.019012348	0.149062081
