genus,compound,R,
Tyzzerella,Fumaric acid,-0.724072165,
Tyzzerella,Taurine,-0.823964094,
Tyzzerella,Arabinose,-0.657352601,
Tyzzerella,Mannose,-0.734315883,
Tyzzerella,Galactose-talose,-0.694796736,
[Eubacterium] xylanophilum group,Acetic acid ,0.590840872,
[Eubacterium] xylanophilum group,Butyric acid,0.711856472,
[Eubacterium] xylanophilum group,alpha-MCA,-0.629992978,
[Eubacterium] xylanophilum group,Alanine,0.804025042,
[Eubacterium] xylanophilum group,Proline,0.938437927,
[Eubacterium] xylanophilum group,Valine,0.730072464,
[Eubacterium] xylanophilum group,Leucine,0.738156591,
[Eubacterium] xylanophilum group,Isoleucine,0.776965814,
[Eubacterium] xylanophilum group,Glycine,0.694060061,
[Eubacterium] xylanophilum group,4-Aminobutyric acid,0.697619343,
[Eubacterium] xylanophilum group,Serine,0.775531608,
[Eubacterium] xylanophilum group,Threonine,0.907608696,
[Eubacterium] xylanophilum group,Tyrosine,0.580040929,
[Eubacterium] xylanophilum group,4-Hydroxyproline,0.765567783,
[Eubacterium] xylanophilum group,Lysine,0.766187854,
[Eubacterium] xylanophilum group,Pyruvic acid,0.707755968,
[Eubacterium] xylanophilum group,Fumaric acid,0.69338025,
[Eubacterium] xylanophilum group,Adenine,0.855502226,
[Eubacterium] xylanophilum group,Arabinose,0.796209992,
[Eubacterium] xylanophilum group,Fructose,0.61265041,
[Eubacterium] xylanophilum group,Glucose,0.740330731,
[Eubacterium] xylanophilum group,Mannose,0.607344031,
Enterorhabdus,Acetic acid ,0.783216783,
Enterorhabdus,Propionic acid,0.713286713,
Enterorhabdus,Butyric acid,0.769230769,
Enterorhabdus,Alanine,0.633976454,
Enterorhabdus,4-Hydroxyproline,0.671819535,
Enterorhabdus,Pyruvic acid,0.774081748,
Enterorhabdus,Fumaric acid,0.612102243,
Enterorhabdus,Adenine,0.607427087,
Enterorhabdus,Taurine,0.598606393,
Enterorhabdus,Glucose,0.769230769,
Negativibacillus,Valeric acid,0.58041958,
Negativibacillus,HDCA,-0.735269157,
Negativibacillus,omega-MCA,-0.65034965,
Negativibacillus,HCA,-0.686748858,
Ruminococcaceae UCG-009,Butyric acid,-0.587412587,
Ruminococcaceae UCG-009,UDCA,0.591312396,
Ruminococcaceae UCG-009,Alanine,-0.683013307,
Ruminococcaceae UCG-009,Valine,-0.640670825,
Ruminococcaceae UCG-009,Glycine,-0.664335664,
Ruminococcaceae UCG-009,4-Aminobutyric acid,-0.594405594,
Ruminococcaceae UCG-009,Threonine,-0.683382213,
Ruminococcaceae UCG-009,4-Hydroxyproline,-0.578511266,
Ruminococcaceae UCG-009,Pyruvic acid,-0.581436969,
Ruminococcaceae UCG-009,Fumaric acid,-0.720339834,
Ruminococcaceae UCG-009,Taurine,-0.873261091,
Ruminococcaceae UCG-009,Mannose,-0.642526398,
Ruminococcaceae UCG-009,Galactose-talose,-0.719759493,
GCA-900066575,Taurine,-0.654945818,
GCA-900066575,Galactose-talose,-0.703117655,
Turicibacter,HDCA,0.790510161,
Turicibacter,omega-MCA,0.815450062,
Turicibacter,HCA,0.826038708,
Turicibacter,Niacin,0.703117655,
Turicibacter,Sucrose,0.782166386,
Turicibacter,Maltose,0.753043169,
Marvinbryantia,Tyrosine,-0.639692501,
Ruminococcaceae UCG-010,Butyric acid,-0.664335664,
Ruminococcaceae UCG-010,alpha-MCA,0.643356643,
Ruminococcaceae UCG-010,UDCA,0.650443636,
Ruminococcaceae UCG-010,Alanine,-0.742558056,
Ruminococcaceae UCG-010,Proline,-0.877097726,
Ruminococcaceae UCG-010,Valine,-0.654907955,
Ruminococcaceae UCG-010,Leucine,-0.660884295,
Ruminococcaceae UCG-010,Isoleucine,-0.794986449,
Ruminococcaceae UCG-010,Glycine,-0.629370629,
Ruminococcaceae UCG-010,4-Aminobutyric acid,-0.657342657,
Ruminococcaceae UCG-010,Serine,-0.605810604,
Ruminococcaceae UCG-010,Threonine,-0.839990637,
Ruminococcaceae UCG-010,4-Hydroxyproline,-0.675551865,
Ruminococcaceae UCG-010,Lysine,-0.624168501,
Ruminococcaceae UCG-010,Pyruvic acid,-0.669002777,
Ruminococcaceae UCG-010,Fumaric acid,-0.742733819,
Ruminococcaceae UCG-010,Adenine,-0.765524548,
Ruminococcaceae UCG-010,Hydroxypropionic acid,-0.701819726,
Ruminococcaceae UCG-010,Taurine,-0.669030674,
Ruminococcaceae UCG-010,Arabinose,-0.8320919,
Ruminococcaceae UCG-010,Mannose,-0.734315883,
Ruminococcaceae UCG-010,Galactose-talose,-0.594945708,
Ruminiclostridium 5,Acetic acid ,-0.762237762,
Ruminiclostridium 5,Propionic acid,-0.804195804,
Ruminiclostridium 5,Butyric acid,-0.706293706,
Ruminiclostridium 5,Alanine,-0.781087012,
Ruminiclostridium 5,Valine,-0.736771449,
Ruminiclostridium 5,Leucine,-0.642526398,
Ruminiclostridium 5,Isoleucine,-0.727804496,
Ruminiclostridium 5,Glycine,-0.769230769,
Ruminiclostridium 5,4-Aminobutyric acid,-0.797202797,
Ruminiclostridium 5,Serine,-0.624168501,
Ruminiclostridium 5,Threonine,-0.715415755,
Ruminiclostridium 5,4-Hydroxyproline,-0.79871878,
Ruminiclostridium 5,Lysine,-0.605810604,
Ruminiclostridium 5,Pyruvic acid,-0.637479086,
Ruminiclostridium 5,Fumaric acid,-0.858436072,
Ruminiclostridium 5,Adenine,-0.669833979,
Ruminiclostridium 5,Taurine,-0.866218663,
Ruminiclostridium 5,Arabinose,-0.678154898,
Ruminiclostridium 5,Glucose,-0.678321678,
Ruminiclostridium 5,Mannose,-0.614989552,
Ruminiclostridium 5,Galactose-talose,-0.778005926,
Ruminococcaceae UCG-004,Acetic acid ,-0.651489616,
Ruminococcaceae UCG-004,Propionic acid,-0.65849488,
Ruminococcaceae UCG-004,Butyric acid,-0.588442233,
Ruminococcaceae UCG-004,UDCA,0.592348878,
Ruminococcaceae UCG-004,Alanine,-0.845614035,
Ruminococcaceae UCG-004,Valine,-0.866421663,
Ruminococcaceae UCG-004,Glycine,-0.819615968,
Ruminococcaceae UCG-004,4-Aminobutyric acid,-0.753065953,
Ruminococcaceae UCG-004,Threonine,-0.702407686,
Ruminococcaceae UCG-004,4-Hydroxyproline,-0.755252339,
Ruminococcaceae UCG-004,Pyruvic acid,-0.652631579,
Ruminococcaceae UCG-004,Fumaric acid,-0.800118814,
Ruminococcaceae UCG-004,Niacin,-0.630473822,
Ruminococcaceae UCG-004,Taurine,-0.924175194,
Ruminococcaceae UCG-004,Glucose,-0.781087012,
Ruminococcaceae UCG-004,Galactose-talose,-0.639749957,
Ruminococcaceae UCG-004,Maltose,-0.581436969,
Acetatifactor,Niacin,0.595447498,
Acetatifactor,Sucrose,0.640981719,
Anaerotruncus,beta-MCA,0.714536998,
Anaerotruncus,CA,0.589073501,
Anaerotruncus,Alanine,-0.649122807,
Anaerotruncus,Proline,-0.721602482,
Anaerotruncus,Valine,-0.666752474,
Anaerotruncus,Isoleucine,-0.766468957,
Anaerotruncus,Glycine,-0.704029101,
Anaerotruncus,4-Aminobutyric acid,-0.707531733,
Anaerotruncus,Threonine,-0.688145601,
Anaerotruncus,Niacin,-0.602452763,
Anaerotruncus,Taurine,-0.677258157,
Anaerotruncus,Glucose,-0.690018571,
Anaerotruncus,Maltose,-0.647986983,
A2,Formic acid ,0.619965924,
Akkermansia,HDCA,-0.706637099,
Akkermansia,omega-MCA,-0.640860962,
Akkermansia,HCA,-0.691602267,
Lachnospiraceae UCG-006,HDCA,0.620186815,
Lachnospiraceae UCG-006,omega-MCA,0.633818534,
Lachnospiraceae UCG-006,HCA,0.661532603,
Lachnospiraceae UCG-006,Niacin,0.802836809,
Lachnospiraceae UCG-006,Sucrose,0.577479108,
Lachnospiraceae UCG-006,Maltose,0.640860962,
Lachnospiraceae FCS020 group,Acetic acid ,-0.651348672,
Lachnospiraceae FCS020 group,Propionic acid,-0.637111543,
Lachnospiraceae FCS020 group,Butyric acid,-0.672704366,
Lachnospiraceae FCS020 group,Alanine,-0.752324983,
Lachnospiraceae FCS020 group,Proline,-0.624992061,
Lachnospiraceae FCS020 group,Valine,-0.717391304,
Lachnospiraceae FCS020 group,Isoleucine,-0.699079265,
Lachnospiraceae FCS020 group,Glycine,-0.758127143,
Lachnospiraceae FCS020 group,4-Aminobutyric acid,-0.715415755,
Lachnospiraceae FCS020 group,Threonine,-0.717391304,
Lachnospiraceae FCS020 group,4-Hydroxyproline,-0.615493701,
Lachnospiraceae FCS020 group,Pyruvic acid,-0.709538728,
Lachnospiraceae FCS020 group,Fumaric acid,-0.759868767,
Lachnospiraceae FCS020 group,Hydroxypropionic acid,-0.658854671,
Lachnospiraceae FCS020 group,Taurine,-0.9104469,
Lachnospiraceae FCS020 group,Arabinose,-0.641626669,
Lachnospiraceae FCS020 group,Glucose,-0.594400154,
Lachnospiraceae FCS020 group,Mannose,-0.672750311,
Lachnospiraceae FCS020 group,Galactose-talose,-0.81315063,
Lachnospiraceae FCS020 group,Maltose,-0.640670825,
Peptococcus,Acetic acid ,-0.672704366,
Peptococcus,Propionic acid,-0.640670825,
Peptococcus,Butyric acid,-0.597959437,
Peptococcus,Alanine,-0.820069887,
Peptococcus,Proline,-0.721875328,
Peptococcus,Valine,-0.800724638,
Peptococcus,Isoleucine,-0.801661549,
Peptococcus,Glycine,-0.736771449,
Peptococcus,4-Aminobutyric acid,-0.747449296,
Peptococcus,Threonine,-0.721014493,
Peptococcus,4-Hydroxyproline,-0.647788124,
Peptococcus,Pyruvic acid,-0.71310425,
Peptococcus,Fumaric acid,-0.74277172,
Peptococcus,Adenine,-0.590804755,
Peptococcus,Niacin,-0.580163025,
Peptococcus,Hydroxypropionic acid,-0.686637699,
Peptococcus,Taurine,-0.828004858,
Peptococcus,Arabinose,-0.679743105,
Peptococcus,Glucose,-0.715415755,
Peptococcus,Mannose,-0.672750311,
Peptococcus,Galactose-talose,-0.654332148,
[Eubacterium] oxidoreducens group,Alanine,-0.641984295,
[Eubacterium] oxidoreducens group,Valine,-0.6559519,
[Eubacterium] oxidoreducens group,Glycine,-0.661988246,
[Eubacterium] oxidoreducens group,4-Aminobutyric acid,-0.612691249,
[Eubacterium] oxidoreducens group,Threonine,-0.648783027,
[Eubacterium] oxidoreducens group,Fumaric acid,-0.582599736,
[Eubacterium] oxidoreducens group,Taurine,-0.744680851,
[Eubacterium] oxidoreducens group,Mannose,-0.610092004,
[Eubacterium] oxidoreducens group,Galactose-talose,-0.666188123,
Ruminococcaceae UCG-005,Isobutyric acid,-0.662026519,
Ruminococcaceae UCG-005,Isovaleric acid,-0.679822931,
Ruminococcaceae UCG-005,Alanine,0.584745485,
Ruminococcaceae UCG-005,Proline,0.586998622,
Ruminococcaceae UCG-005,4-Aminobutyric acid,0.58728159,
Ruminococcaceae UCG-005,Threonine,0.701086957,
Ruminococcaceae UCG-005,Tyrosine,0.651178024,
Ruminococcaceae UCG-005,Hydroxypropionic acid,0.587412598,
Erysipelatoclostridium,Acetic acid ,0.70336037,
Erysipelatoclostridium,Propionic acid,0.645351268,
Erysipelatoclostridium,Butyric acid,0.630848992,
Erysipelatoclostridium,HDCA,-0.654047102,
Erysipelatoclostridium,omega-MCA,-0.768620611,
Erysipelatoclostridium,alpha-MCA,-0.681606957,
Erysipelatoclostridium,Alanine,0.653746319,
Erysipelatoclostridium,Proline,0.77789034,
Erysipelatoclostridium,Leucine,0.78045701,
Erysipelatoclostridium,Isoleucine,0.770150138,
Erysipelatoclostridium,Serine,0.761421473,
Erysipelatoclostridium,Threonine,0.586815754,
Erysipelatoclostridium,Tyrosine,0.674453273,
Erysipelatoclostridium,4-Hydroxyproline,0.623086292,
Erysipelatoclostridium,Lysine,0.78045701,
Erysipelatoclostridium,Pyruvic acid,0.661010167,
Erysipelatoclostridium,Fumaric acid,0.599865685,
Erysipelatoclostridium,Adenine,0.806724234,
Erysipelatoclostridium,Arabinose,0.798096168,
Erysipelatoclostridium,Fructose,0.593984962,
Erysipelatoclostridium,Mannose,0.618654947,
Ruminococcus 1,HDCA,0.701688795,
Ruminococcus 1,omega-MCA,0.782166386,
Ruminococcus 1,HCA,0.870449391,
Ruminococcus 1,Niacin,0.753043169,
Ruminococcus 1,Sucrose,0.815450062,
Ruminococcus 1,Maltose,0.74472225,
Gordonibacter,Alanine,0.603508772,
Gordonibacter,Proline,0.579525309,
Gordonibacter,Valine,0.591876527,
Gordonibacter,Isoleucine,0.635608404,
Gordonibacter,Threonine,0.634662782,
Gordonibacter,4-Hydroxyproline,0.729080228,
Gordonibacter,Fumaric acid,0.631869531,
Gordonibacter,Adenine,0.633498328,
Gordonibacter,Glucose,0.746060689,
Butyricicoccus,3-Indoleacetic acid,1,
Butyricicoccus,Mannose,0.630547668,
Ruminiclostridium 6,Isobutyric acid,-0.670063243,
Ruminiclostridium 6,HDCA,0.627074391,
Ruminiclostridium 6,omega-MCA,0.697600089,
Ruminiclostridium 6,LCA,0.630547668,
Ruminiclostridium 6,HCA,0.813237101,
Ruminiclostridium 6,Niacin,0.596631655,
Ruminiclostridium 6,Sucrose,0.624168501,
Harryflintia,HCA,-0.651394422,
Harryflintia,UDCA,0.694313843,
Harryflintia,Alanine,-0.714124736,
Harryflintia,Valine,-0.725674672,
Harryflintia,Glycine,-0.675551865,
Harryflintia,4-Aminobutyric acid,-0.612102243,
Harryflintia,Threonine,-0.702878609,
Harryflintia,Fumaric acid,-0.663346614,
Harryflintia,Niacin,-0.582243597,
Harryflintia,Taurine,-0.830674462,
Harryflintia,Galactose-talose,-0.639513838,
Harryflintia,Maltose,-0.641960889,
Faecalitalea,Serine,0.606168341,
Faecalitalea,4-Hydroxyproline,0.579559416,
Faecalitalea,Adenine,0.70049505,
Family XIII AD3011 group,omega-MCA,-0.652602405,
Family XIII AD3011 group,Niacin,-0.609095578,
Family XIII AD3011 group,Sucrose,-0.775871749,
Family XIII AD3011 group,Maltose,-0.645351268,
Lachnospiraceae UCG-001,5-Hydroxy-3-indoleacetate,0.604267319,
Anaerofustis,Butyric acid,0.650443636,
Anaerofustis,DCA,-0.639692501,
Anaerofustis,omega-MCA,-0.650443636,
Anaerofustis,alpha-MCA,-0.650443636,
Anaerofustis,Proline,0.631194403,
Anaerofustis,Leucine,0.670311818,
Anaerofustis,Isoleucine,0.631194403,
Anaerofustis,4-Aminobutyric acid,0.591312396,
Anaerofustis,Serine,0.853765578,
Anaerofustis,Threonine,0.601929265,
Anaerofustis,4-Hydroxyproline,0.694313843,
Anaerofustis,Lysine,0.776150526,
Anaerofustis,Adenine,0.773957299,
Anaerofustis,3-Indoleacetic acid,0.604267319,
Anaerofustis,Glucose,0.650443636,
uncultured Firmicutes bacterium,3-Indoleacetic acid,1,
uncultured Firmicutes bacterium,Mannose,0.630547668,