	AIN2	AIN3	AIN4	AIN5	HF2	HF3	HF4	HF5	CE2_2	CE2_3	CE2_4	CE2_5
AIN2	0	0.218013581	0.229658878	0.27256465	0.367688736	0.379583359	0.352797528	0.358442134	0.314076261	0.310023293	0.305392285	0.320448999
AIN3	0.218013581	0	0.192396303	0.242479488	0.354081734	0.348119381	0.327533473	0.335031051	0.313147077	0.341178101	0.300068915	0.347286447
AIN4	0.229658878	0.192396303	0	0.215386851	0.294117186	0.324955317	0.289199459	0.297481322	0.269982101	0.298265865	0.261766246	0.329432737
AIN5	0.27256465	0.242479488	0.215386851	0	0.339695676	0.354220012	0.315846565	0.342199596	0.304634917	0.329479535	0.292266157	0.336157522
HF2	0.367688736	0.354081734	0.294117186	0.339695676	0	0.174711395	0.188116565	0.197767769	0.323984276	0.339293353	0.295668547	0.398297821
HF3	0.379583359	0.348119381	0.324955317	0.354220012	0.174711395	0	0.168849283	0.221287154	0.336616575	0.346163211	0.309200956	0.40451656
HF4	0.352797528	0.327533473	0.289199459	0.315846565	0.188116565	0.168849283	0	0.200635655	0.319436894	0.330986202	0.298197694	0.375584707
HF5	0.358442134	0.335031051	0.297481322	0.342199596	0.197767769	0.221287154	0.200635655	0	0.325760611	0.338525475	0.295635	0.378315607
CE2_2	0.314076261	0.313147077	0.269982101	0.304634917	0.323984276	0.336616575	0.319436894	0.325760611	0	0.219087768	0.196207803	0.252729242
CE2_3	0.310023293	0.341178101	0.298265865	0.329479535	0.339293353	0.346163211	0.330986202	0.338525475	0.219087768	0	0.183724258	0.219937084
CE2_4	0.305392285	0.300068915	0.261766246	0.292266157	0.295668547	0.309200956	0.298197694	0.295635	0.196207803	0.183724258	0	0.238193009
CE2_5	0.320448999	0.347286447	0.329432737	0.336157522	0.398297821	0.40451656	0.375584707	0.378315607	0.252729242	0.219937084	0.238193009	0